objectid,title,format,filename,date,subject,location,latitude,longitude,description
item1,bike,image/jpg,bike.jpg,2021,bike; painting; turquoise,mississauga,,,photograph of a painting of a bike
item2,fireman,image/jpg,fireman.jpg,2021,fireman; plush,mississauga,,,photograph of a fireman stress toy
item3,livingroom111,image/jpg,livingroom.jpg,2021,living room; tv; couch,mississauga,,,photograph of connor old family/living room
item4,mirror,image/jpg,mirror.jpg,2021,mirror; blue,mississauga,,,photograph of a mirror
item5,plant,image/jpg,plant.jpg,2021,plant; window,mississauga,,,"photograph of a plant, with light shining through"
